diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
organization edmoid error,so,organization_edmoid,1,237,https://edmo.seadatanet.org/report/237,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/sediment_observatory.csv,EMOBONList,False
organization edmoid error,wo,organization_edmoid,1,237,https://edmo.seadatanet.org/report/237,organization edmoid should be a list of URIs,/github/workspace/logsheets/filtered/water_observatory.csv,EMOBONList,False
source_mat_id error,ss,source_mat_id,1,EMOBON_NRMCB_So_1,,source_mat_id should match ^EMOBON_NRMCB_So_210621_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,2,EMOBON_NRMCB_So_2,,source_mat_id should match ^EMOBON_NRMCB_So_210621_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,3,EMOBON_NRMCB_So_3,,source_mat_id should match ^EMOBON_NRMCB_So_210621_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,4,EMOBON_NRMCB_So_4,,source_mat_id should match ^EMOBON_NRMCB_So_210621_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,5,EMOBON_NRMCB_So_5,,source_mat_id should match ^EMOBON_NRMCB_So_210821_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,6,EMOBON_NRMCB_So_6,,source_mat_id should match ^EMOBON_NRMCB_So_210831_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,7,EMOBON_NRMCB_So_7,,source_mat_id should match ^EMOBON_NRMCB_So_210831_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,8,EMOBON_NRMCB_So_8,,source_mat_id should match ^EMOBON_NRMCB_So_210831_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,9,EMOBON_NRMCB_So_9,,source_mat_id should match ^EMOBON_NRMCB_So_210831_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,10,EMOBON_NRMCB_So_10,,source_mat_id should match ^EMOBON_NRMCB_So_210831_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,11,EMOBON_NRMCB_So_11,,source_mat_id should match ^EMOBON_NRMCB_So_211026_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,12,EMOBON_NRMCB_So_12,,source_mat_id should match ^EMOBON_NRMCB_So_211026_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,13,EMOBON_NRMCB_So_13,,source_mat_id should match ^EMOBON_NRMCB_So_211026_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,14,EMOBON_NRMCB_So_14,,source_mat_id should match ^EMOBON_NRMCB_So_211026_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,15,EMOBON_NRMCB_So_15,,source_mat_id should match ^EMOBON_NRMCB_So_211026_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,16,EMOBON_NRMCB_So_16,,source_mat_id should match ^EMOBON_NRMCB_So_211221_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,17,EMOBON_NRMCB_So_17,,source_mat_id should match ^EMOBON_NRMCB_So_211221_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,18,EMOBON_NRMCB_So_18,,source_mat_id should match ^EMOBON_NRMCB_So_211221_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,19,EMOBON_NRMCB_So_19,,source_mat_id should match ^EMOBON_NRMCB_So_211221_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ss,source_mat_id,20,EMOBON_NRMCB_So_20,,source_mat_id should match ^EMOBON_NRMCB_So_211221_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,1,EMOBON_NRMCB_Wa_1,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,2,EMOBON_NRMCB_Wa_2,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,3,EMOBON_NRMCB_Wa_3,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,4,EMOBON_NRMCB_Wa_4,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,5,EMOBON_NRMCB_Wa_5,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,6,EMOBON_NRMCB_Wa_6,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_200um_blank_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,7,EMOBON_NRMCB_Wa_7,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
