source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON_NRMCBWa_210621_3um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,1,5,3,3-200,3,200,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,N,2021-10-18 00:00:00,2021-10-20 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,,NA,NA,,EMOBON_NRMCB_Wa_1
EMOBON_NRMCBWa_210621_3um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,2,5,3,3-200,3,200,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,N,2021-10-18 00:00:00,2021-10-20 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,,NA,NA,,EMOBON_NRMCB_Wa_2
EMOBON_NRMCBWa_210621_3um_3,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,3,5,3,3-200,3,200,Y,Niskin,Wa SOP1,NA,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_NRMCB_Wa_3
EMOBON_NRMCBWa_210621_3um_4,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,4,5,3,3-200,3,200,Y,Niskin,Wa SOP1,NA,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_NRMCB_Wa_4
EMOBON_NRMCBWa_210621_3um_(blank),EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,blank_1,5,3,3-200,3,200,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,N,2021-10-18 00:00:00,2021-10-20 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,,NA,NA,NA,EMOBON_NRMCB_Wa_5
EMOBON_NRMCBWa_210621_3um_(blank),EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,blank_2,5,3,3-200,3,200,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_NRMCB_Wa_6
EMOBON_NRMCBWa_210621_0.22um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,1,5,3,0.2-3,0.2,3,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,N,2021-10-18 00:00:00,2021-10-20 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,,T,low yields; seq library prep failed twice,,EMOBON_NRMCB_Wa_7
EMOBON_NRMCBWa_210621_0.22um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,2,5,3,0.2-3,0.2,3,Y,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,N,2021-10-18 00:00:00,2021-10-20 00:00:00,-70,2021-11-24 00:00:00,2021-11-24 00:00:00,,T,low yields; seq library prep failed twice,,EMOBON_NRMCB_Wa_8
EMOBON_NRMCBWa_210621_0.22um_3,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,3,5,3,0.2-3,0.2,3,Y,Niskin,Wa SOP1,NA,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_NRMCB_Wa_9
EMOBON_NRMCBWa_210621_0.22um_4,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21 00:00:00,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,NA,0,4,5,3,0.2-3,0.2,3,Y,Niskin,Wa SOP1,NA,2021-06-21 00:00:00,Casotti minus80,-80,Raffaella Casotti,0000-0002-9876-4601,Anna Chiara Trano,NA,Y,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_NRMCB_Wa_10
